epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,382.69,1.86098,0.492,0.88643,1.4789,0.00332923,0.00332923,0.00332923
2,755.579,1.42087,0.60711,0.92244,1.21479,0.0064427,0.0064427,0.0064427
3,1131.03,1.27378,0.62127,0.93752,1.12106,0.00933617,0.00933617,0.00933617
4,1508.81,1.21611,0.6779,0.94706,0.96829,0.00901,0.00901,0.00901
5,1885.82,1.08026,0.69144,0.95091,0.89947,0.00868,0.00868,0.00868
6,2263.57,0.98982,0.73022,0.95737,0.8084,0.00835,0.00835,0.00835
7,2643.47,0.92029,0.74361,0.96507,0.78086,0.00802,0.00802,0.00802
8,3019.94,0.88372,0.77116,0.96799,0.6917,0.00769,0.00769,0.00769
9,3396.77,0.82603,0.76593,0.96984,0.71361,0.00736,0.00736,0.00736
10,3774.69,0.79774,0.78332,0.96845,0.68009,0.00703,0.00703,0.00703
11,4152.46,0.75727,0.79471,0.96968,0.63846,0.0067,0.0067,0.0067
12,4527.16,0.73584,0.79655,0.97415,0.62304,0.00637,0.00637,0.00637
13,4907.54,0.70664,0.81671,0.97507,0.57241,0.00604,0.00604,0.00604
14,5279.08,0.68465,0.82472,0.97676,0.56348,0.00571,0.00571,0.00571
15,5640.61,0.64503,0.82318,0.97999,0.54055,0.00538,0.00538,0.00538
16,6006.5,0.62848,0.83164,0.98138,0.52397,0.00505,0.00505,0.00505
17,6377.42,0.61344,0.83456,0.98199,0.52656,0.00472,0.00472,0.00472
18,6744.45,0.5833,0.83995,0.98092,0.52912,0.00439,0.00439,0.00439
19,7121.71,0.55192,0.84272,0.9803,0.50383,0.00406,0.00406,0.00406
20,7499.41,0.53312,0.84903,0.9823,0.48808,0.00373,0.00373,0.00373
21,7858.81,0.49975,0.84841,0.98446,0.48429,0.0034,0.0034,0.0034
22,8216.07,0.47177,0.85334,0.9843,0.47132,0.00307,0.00307,0.00307
23,8579.16,0.46429,0.85765,0.98523,0.46533,0.00274,0.00274,0.00274
24,8936.63,0.4356,0.85565,0.98507,0.47501,0.00241,0.00241,0.00241
25,9293.73,0.42022,0.86057,0.98569,0.45457,0.00208,0.00208,0.00208
26,9654.04,0.38965,0.86365,0.98584,0.44906,0.00175,0.00175,0.00175
27,10014.6,0.38087,0.8638,0.986,0.44338,0.00142,0.00142,0.00142
28,10378,0.3569,0.86611,0.986,0.44115,0.00109,0.00109,0.00109
29,10763,0.33628,0.8675,0.9883,0.44144,0.00076,0.00076,0.00076
30,11146.9,0.32863,0.86642,0.98769,0.44925,0.00043,0.00043,0.00043
